에이엠피AMP/BTC,"0.000069011,465?KRW",-1.82%,204.698
팩텀FCT/BTC,"0.0043300191,926?KRW",-3.28%,199.38
모나코MCO/BTC,"0.0012224925,953?KRW",5.85%,198.45
라디움RADS/BTC,"0.0011287123,963?KRW",-4.28%,186.442
페이션토리PTOY/BTC,0.00004502956?KRW,1.17%,180.138
디스트릭트0xDNT/BTC,0.00001918407?KRW,-10.12%,166.087
디크레드DCR/BTC,"0.00849845180,422?KRW",0.22%,165.388
바이버레이트VIB/BTC,0.00003899828?KRW,-3.15%,161.375
애드토큰ADT/BTC,0.00001019216?KRW,-6.08%,159.701
페더코인FTC/BTC,0.00003800807?KRW,4.89%,149.926
익스펜스EXP/BTC,"0.0005550011,783?KRW",-8.11%,141.952
코파운드잇CFI/BTC,0.00002176462?KRW,8.31%,134.002
스팀달러SBD/BTC,"0.000470009,978?KRW",2.67%,122.199
메이드세이프MAID/BTC,"0.000077441,644?KRW",4.62%,118.079
모나코인MONA/BTC,"0.0005327511,310?KRW",-3.49%,117.428
스웜시티토큰SWT/BTC,"0.000343987,303?KRW",6.50%,108.38
엘라스틱XEL/BTC,"0.000066501,412?KRW",-1.26%,106.325
오케이캐시OK/BTC,0.00004296912?KRW,4.55%,103.413
메메틱MEME/BTC,"0.000073601,563?KRW",1.60%,90.989
비트빈BITB/BTC,0.0000019441.19?KRW,21.25%,87.644
아이온ION/BTC,"0.000236645,024?KRW",-1.45%,85.221
살루스SLS/BTC,"0.00651243138,259?KRW",2.52%,83.201
퀀텀리지스턴트렛저QRL/BTC,"0.000207674,409?KRW",-5.03%,82.307
노시스GNO/BTC,"0.02695001572,149?KRW",1.70%,80.56
뉴메레르NMR/BTC,"0.0033372870,850?KRW",5.26%,77.25
머큐리MER/BTC,"0.000051971,103?KRW",-1.92%,72.806
파티클PART/BTC,"0.0028000059,444?KRW",27.02%,72.665
디센트DCT/BTC,"0.000163253,466?KRW",-2.77%,71.526
시프트SHIFT/BTC,"0.0006340913,462?KRW",-5.42%,70.389
뱅코르BNT/BTC,"0.0006975814,810?KRW",5.17%,70.095
유빅UBQ/BTC,"0.000408108,664?KRW",-3.30%,67.166
인터넷오브피플IOP/BTC,"0.0006135013,025?KRW",1.40%,65.288
다이내믹DYN/BTC,"0.000413548,779?KRW",0.63%,59.475
코어코인KORE/BTC,"0.0005879912,483?KRW",0.52%,58.509
윙스다오WINGS/BTC,"0.000124052,634?KRW",5.13%,55.96
모네터리유닛MUE/BTC,0.00002900616?KRW,-1.29%,53.11
익스클루시브코인EXCL/BTC,"0.000222934,733?KRW",8.13%,43.781
클록코인CLOAK/BTC,"0.0015500032,907?KRW",-4.47%,38.186
트랜스퍼코인TX/BTC,"0.000225004,777?KRW",-4.21%,33.827
블록넷BLOCK/BTC,"0.0034235672,682?KRW",0.28%,33.118
시베리안체르보네츠SIB/BTC,"0.000280045,945?KRW",0.01%,28.6
이드니아고라스AGRS/BTC,"0.000227514,830?KRW",6.31%,14.407
