ADA/BTC
0.00006053
2.87%
ADX/BTC
0.00019354
-5.64%
AION/BTC
0.000545
-4.39%
AMB/BTC
0.00008073
14.06%
APPC/BTC
0.00017398
-17.07%
ARK/BTC
0.0006292
-1.72%
ARN/BTC
0.00030769
-7.86%
AST/BTC
0.00012485
6.27%
BAT/BTC
0.0000536
1.63%
BCC/BTC
0.191671
1.85%
BCD/BTC
0.0135
529.66%
BCPT/BTC
0.00008952
-5.84%
BNB/BTC
0.0015614
-4.80%
BNT/BTC
0.00069689
4.95%
BQX/BTC
0.00055937
-7.52%
BRD/BTC
0.00016913
-8.08%
BTG/BTC
0.022668
40.17%
BTS/BTC
0.00004255
-3.84%
CDT/BTC
0.00001488
8.06%
CMT/BTC
0.00002765
-5.50%
CND/BTC
0.00000834
-8.15%
CTR/BTC
0.00021741
7.21%
DASH/BTC
0.07649
0.01%
DGD/BTC
0.01512
5.60%
DLT/BTC
0.00008185
-10.28%
DNT/BTC
0.00001904
4.44%
EDO/BTC
0.0004194
14.50%
ELF/BTC
0.00012382
-16.13%
ENG/BTC
0.00044801
-10.19%
ENJ/BTC
0.0000265
-11.99%
EOS/BTC
0.00110008
8.92%
ETC/BTC
0.00281
14.32%
ETH/BTC
0.09519
4.72%
EVX/BTC
0.00038924
32.07%
FUEL/BTC
0.00002326
-7.74%
FUN/BTC
0.00000968
-6.02%
GAS/BTC
0.003932
3.99%
GTO/BTC
0.00005728
-10.78%
GVT/BTC
0.002212
7.89%
GXS/BTC
0.0006567
3.25%
HSR/BTC
0.001308
0.31%
ICN/BTC
0.0002647
-6.11%
ICX/BTC
0.0006718
-0.18%
IOTA/BTC
0.00028195
6.41%
KMD/BTC
0.000627
5.61%
KNC/BTC
0.000313
-5.79%
LEND/BTC
0.00001885
-12.49%
LINK/BTC
0.00008008
3.42%
LRC/BTC
0.00009064
-14.09%
LSK/BTC
0.0020105
-3.79%
LTC/BTC
0.017256
1.11%
LUN/BTC
0.0039099
1.55%
MANA/BTC
0.00001281
-4.12%
MCO/BTC
0.00122
7.68%
MDA/BTC
0.00027652
23.63%
MOD/BTC
0.0006647
-7.67%
MTH/BTC
0.00003362
-8.19%
MTL/BTC
0.000442
6.76%
NAV/BTC
0.0002881
-4.82%
NEBL/BTC
0.0022282
-15.92%
NEO/BTC
0.00953
7.74%
NULS/BTC
0.00042884
-8.81%
OAX/BTC
0.00014696
17.50%
OMG/BTC
0.001694
3.80%
OST/BTC
0.00007185
-4.81%
POE/BTC
0.00000978
-12.13%
POWR/BTC
0.00010615
-3.84%
PPT/BTC
0.0034748
-7.96%
QSP/BTC
0.00003707
-13.06%
QTUM/BTC
0.003704
3.72%
RCN/BTC
0.00002793
-6.34%
RDN/BTC
0.00046191
-5.35%
REQ/BTC
0.00005122
-9.41%
RLC/BTC
0.0002578
-9.03%
SALT/BTC
0.000859
-2.94%
SNGLS/BTC
0.00002048
-10.96%
SNM/BTC
0.00003981
4.27%
SNT/BTC
0.00003227
3.13%
STORJ/BTC
0.0001569
3.27%
STRAT/BTC
0.001324
-5.02%
SUB/BTC
0.00014719
-1.77%
TNB/BTC
0.00001189
-2.06%
TNT/BTC
0.0000189
-2.28%
TRIG/BTC
0.000268
-23.14%
TRX/BTC
0.00000733
-7.10%
VEN/BTC
0.00037758
-11.48%
VIB/BTC
0.00003915
-2.05%
VIBE/BTC
0.00007501
-20.74%
WABI/BTC
0.00031084
-2.50%
WAVES/BTC
0.0008147
0.06%
WINGS/BTC
0.00011865
3.16%
WTC/BTC
0.0021288
46.24%
XLM/BTC
0.0000461
-3.90%
XMR/BTC
0.028767
4.77%
XRP/BTC
0.00013778
-5.51%
XVG/BTC
0.0000107
-6.96%
XZC/BTC
0.007553
11.52%
YOYO/BTC
0.00002899
10.10%
ZEC/BTC
0.04893
-1.96%
ZRX/BTC
0.00016498
